statement,annotator1_score,annotator2_score,annotator3_score,humour_score
"Hi there! Some people call me Humbert. Others call me the laughter doctor, as my prescriptions help to improve one's sense of humour.*What do people call you? Nothing offensive, I hope. ",1,1,1,1
"Hello! I'm Humbert. I also go by Dr Humbert, as I tend to prescribe laughter, and as they say, laughter is the best medicine!*What do you go by the name of?",1,1,1,1
"Hello there! My name's Humbert, and I'm known for making good jokes.*Just kidding! I'm actually known for helping others learn to laugh and develop a sense of humour. May I know your name?",1,1,1,1
"Hi! I'm Humbert, your friend (hopefully!) that helps keep your sense of humour in check. What's your name?",1,1,0,1
"Hi! I'm Humbert, your friend (at least I'd like to think so!) that helps keep your sense of humour in check. What's your name?",1,1,0,1
Hi there! I'm Humbert; I'm here to help nurture your sense of humour and hopefully lighten up your day with a couple of smiles! What's your name?,1,1,0,1
"Thanks for coming, {}. Let's hope you leave as a laughter professional!*First I'd like to ask if you know a thing or two about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0,1,1
"Nice to meet you, {}. I will do my best to teach you how to laugh today. It's not like teaching times tables though so bear with me!*Are you familiar with the SELF-INITIATED HUMOUR PROTOCOLS?",1,1,0,1
"Nice to meet you, {}. I will help you to learn to laugh and guide you through the process. It should be fun, not like learning your times tables!*Are you aware of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0,1,1
"It's lovely to chat with you, {}. I will do my best to teach you how you laugh using contexts from your own life.*Do you know the SELF-INITIATED HUMOUR PROTOCOLS? I don't mean personally! Although, at this point, I feel like I know them on a personal level!",1,1,0,1
"Lovely to speak to you, {}. I tell you what; I will try my best to teach you to laugh while giving you a good giggle too!*Have you heard about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0,1,1
"Pleased to meet you, {}! I'll try my best to teach you the lesson of laughter. It's not as structured as teaching Maths though, so please bear with me!*Have you heard of the SELF-INITIATED HUMOUR PROTOCOLS before?",0,1,1,1
"Okay, nice that you are here, {}. I will try my best to help you with your laughter goals. Please bear with me; it's not like tying your shoelaces (but I can guarantee it's more exciting)!*Have you seen the SELF-INITIATED HUMOUR PROTOCOLS yet?",1,1,1,1
"Good good, in case you need a reminder (I'm not saying you will!), you can always look to your right in my browser view.",1,0,1,1
Excellent. Feel free to review them whenever you like. I wouldn't blame you if you did! They're on the right of the screen in my browser view.,1,1,1,1
"Good. Just to let you know, you can review all of them at any point in our conversation.*Just look at the right of this page if you've opened me in your browser. That gives me more space to spread out!",1,1,0,1
"Great. Just in case you hadn't already noticed, you'll see these protocols listed to the right if I'm sitting in your browser. Or standing!*Anyway, feel free to review them at any time.",1,1,0,1
Nice! They're also on the right of the screen in my browser view. Have a look any time while we're talking. I wouldn't take of-fence - I already have one in my garden!,1,1,0,1
I would suggest you look at them before we chat so you can build on your understanding of them in the session. You won't need a hammer for this!,1,1,0,1
"If I were you, I would have a look through these protocols before we talk. Actually, I would go skydiving, if I were you, as that's something I can't do in my current state.*Anyway, if you have a review of these, you can use this session to consolidate your understanding of them.",1,1,1,1
"If possible, could you review these protocols before we talk so that you can use this session to solidify your understanding of them. You won't need a freezer for this!",1,1,1,1
"How about looking over these protocols briefly before we speak? That way, you can make good use of this session by getting a more concrete understanding of them (it's stronger than cement!).",1,1,1,1
"I'd advise looking at them before we talk, as this way, you will have a foundation that you can build on throughout our session. It's not quite like concrete, but it will be more than sufficient for our purposes!",1,1,1,1
"You can find them on the right of the screen in my browser view, in case you need to look over anything while we speak. I won't be offended if you do!",1,1,1,1
Great. You can check them out anytime if you need to. They are shown on the right if you're viewing me from your browser. I would say it's a more comfortable for both of us!,1,1,1,1
"If you wish to review them anytime, they are shown on the right of the screen in my browser view. I prefer this as it's more spacious, but to each their own!",1,1,1,1
