Sad - Was this caused by a specific event/s?,Sad - Was this caused by a recent or distant event (or events)?,Sad - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Sad - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Sad - Thank you. Now I will ask some questions to understand your situation.,Sad - Have you strongly felt or expressed any of the following emotions towards someone:,Sad - Do you believe that you should be the saviour of someone else?,"Sad - Do you see yourself as the victim, blaming someone else for how negative you feel?",Sad - Do you feel that you are trying to control someone?,Sad - Are you always blaming and accusing yourself for when something goes wrong?,"Sad - In previous conversations, have you considered other viewpoints presented?",Sad - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Angry - Was this caused by a specific event/s?,Angry - Was this caused by a recent or distant event (or events)?,Angry - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Angry - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Angry - Thank you. Now I will ask some questions to understand your situation.,Angry - Have you strongly felt or expressed any of the following emotions towards someone:,Angry - Do you believe that you should be the saviour of someone else?,"Angry - Do you see yourself as the victim, blaming someone else for how negative you feel?",Angry - Do you feel that you are trying to control someone?,Angry - Are you always blaming and accusing yourself for when something goes wrong?,"Angry - In previous conversations, have you considered other viewpoints presented?",Angry - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Anxious - Was this caused by a specific event/s?,Anxious - Was this caused by a recent or distant event (or events)?,Anxious - Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Anxious - Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Anxious - Thank you. Now I will ask some questions to understand your situation.,Anxious - Have you strongly felt or expressed any of the following emotions towards someone:,Anxious - Do you believe that you should be the saviour of someone else?,"Anxious - Do you see yourself as the victim, blaming someone else for how negative you feel?",Anxious - Do you feel that you are trying to control someone?,Anxious - Are you always blaming and accusing yourself for when something goes wrong?,"Anxious - In previous conversations, have you considered other viewpoints presented?",Anxious - Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Happy - That's Good! Let me recommend a protocol you can attempt.,All emotions - From what you have said I believe you are feeling {}. Is this correct?,All emotions - I am sorry. Please select from the emotions below the one that best reflects what you are feeling:,All emotions - Thank you for taking part. See you soon,"All emotions - Here are my recommendations, please select the protocol that you would like to attempt","All emotions - Please try to go through this protocol now. When you finish, press 'continue'",All emotions - Do you feel better or worse after having taken this protocol?,All emotions - Would you like to attempt another protocol? (Patient feels better),All emotions - Would you like to attempt another protocol? (Patient feels worse)
"Sorry to hear that, I can relate. Did something happen prior to this feeling? You can be open with me. ","I'm sorry to hear about that. Was that event recent, or was it more distant in your past? ",Events from our past may trigger elevated emotions. Is it possible that you have recently attempted Protocol 6 and this has reignited these negative emotions? ,"Events from our recent past may trigger elevated emotions. If you have recently tried Protocol 11, could you tell me if it brought up unmanageable emotions due to recent events? ",I appreciate you sharing this with me. I have some more that I'd like to ask to help understand your situation better. ,There are some emotions that I'd like to know if they have been present in your life recently. Have you experienced any of these negative emotions yourself and/or shown them towards someone else: ,"Thank you, I want to understand what is happening so I am better equipped to help. Do you think someone else's problem should be your problem to solve? ","Thank you for your answer, let's see if there is something else that is bothering you. Are you unhappy because someone else has made you feel bad, like you've been hurt by them and you're the victim? ","Thank you for your response, that's helpful. Do you think you might be getting too involved, trying to control someone you shouldn't? ","That's ok, thank you. Can you tell me if you feel you are always blaming and accusing yourself for when something goes wrong? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Have you been able to consider other people's perspectives in your previous conversations? ","Thank you for your patience, I really appreciate it. If you had a magic wand, are there people you would eliminate from your life right now, in order to feel better? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Is there something in particular which made you feel this way? ","Sorry to hear that. Did this happen recently, or are you remembering something from the more distant past? ","Thank you, I can understand. Have you already tried thinking over that again by doing Protocol 6, and if so how was that, did it reignite uncomfortable emotions? ","Thank you, I can understand. Do you think that attempting Protocol 11 to think back to this recent event, if you have recently done so, has had a negative effect here? ",I appreciate you sharing this with me. I'd like to ask some more questions about this if that's OK with you. ,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Have you had any of the following strong feelings and/or have you expressed them towards someone: ",Please try to think carefully about your recent past before answering this question. Do you believe you could - or should - be someone else's saviour? ,"Thank you for your answer, let's see if there is something else that is bothering you. Do you feel that someone has been abusing you or victimising you lately? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Is it possible that you are trying to change or influence someone else's behaviour? You can tell me honestly, I am here to help, not to judge.","That's ok, thank you. Would you say you that lately you have a tendency to believe that you are the root cause for all of your problems? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself to be a good listener? ","Thank you for the response. Are you experiencing a personal crisis, facing unmanageable issues involving other people in your life? ","Oh that's tough, I can understand. Do you think this could be linked with any particular event? Don't worry, we will try and work it out.","Okay, saying that out loud is a good first step. Is this a recent event that has occurred or is it something from the distant past? ",Sometimes people can be adversely affected when trying Protocol 6. Is Protocol 6 something you have tried and found yourself upset as a result of it? ,I appreciate that it can be difficult to overcome negative thoughts from the recent past. Is Protocol 11 something you have tried and found yourself upset as a result of it? ,It's good that you have shared how you feel. Would you like to talk some more so that I can provide some useful suggestions to you? ,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Have you felt or expressed any of the following towards anyone recently: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. Do you believe you are letting someone down? ","OK, thanks for your answer. Has someone hurt you, or worried you, and are you upset with them because they have caused you so much trouble? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Are you trying to help too much, perhaps, and feel that the person you're trying to help just won't listen to you? ","Thank you, I want to ask again about how you feel about this anxiety. Do you think that perhaps you are always blaming yourself when thing don't work out? ",Please think back to previous conversations with other people. Have you considered what other people are thinking? ,Perhaps your stress stems from something difficult you are personally going through. Is there a recent event between you and another person that is making you feel unwell or depressed? ,"Oh I am very glad to hear that! Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it? I hope it could inspire you and brighten your day even more.","Thank you for sharing. I get the impression you are feeling {}, am I right? ",My apologies for misunderstanding how you are actually feeling. Would you like to pick out the kind of emotion you are feeling from this list? ,I want to thank you for sharing your thoughts and feelings with me today. Really hope to see you again soon! ,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. I'd be interested to know which protocol you would like to try. ","Please try this protocol. When you have finished, press 'continue'. ",Thanks for trying the protocol. How do you feel now? I hope it did help. ,"Very well, I'm glad it is working. Do you think you might like to try another and see how that goes? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. There are other protocols that might work better for you, do you want to try one? "
"Sorry to hear that, I can relate. Did something happen prior to this feeling? ",I'm sorry to hear about that. Was this event distant or recent? ,"Events from our past may trigger elevated emotions. If you have recently tried Protocol 6, could you tell me if it brought back unmanageable emotions due to old events? ",Events from our recent past may trigger elevated emotions. Have you tried Protocol 11 recently and did it bring back some of the tough emotions from the recent past? ,"I appreciate you sharing this with me. I'd like you to provide me with some more information now, if it's all right with you. ",There are some emotions that I'd like to know if they have been present in your life recently. Have you discussed with someone or have you been feeling any of these strong emotions: ,"Thank you, I want to understand what is happening so I am better equipped to help. Have you felt, lately, that it falls upon you to save others around you, help them overcome their problems at the expense of your own? ","Thank you for your answer, let's see if there is something else that is bothering you. Do you feel that someone has been abusing you or victimising you lately? ","Thank you for your response, that's helpful. Could you tell me if you feel you are trying to control someone, perhaps? ","That's ok, thank you. Do you always apologise when something goes wrong and feel it is your fault? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself to be a good listener? ","Thank you for your patience, I really appreciate it. Do you feel like you are having a personal crisis, for example, a difficult time with family or friends or other loved ones? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Was this caused by something specific? ","Sorry to hear that. The event that caused your anger, would you consider it to be recent or did it happen a while back? ","Thank you, I can understand. If you have tried Protocol 6 how did it go, did it bring up bad memories? ","Thank you, I can understand. When attempting to revisit this negative emotion, as is requested in Protocol 11, did you find you were emotionally uncomfortable and have difficulty proceeding? ",I appreciate you sharing this with me. I'd like to ask some questions to get a better understanding of your situation. ,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Would you say that you have felt or expressed any of the following emotions toward anybody recently: ","Please try to think carefully about your recent past before answering this question. Have you felt, lately, that it falls upon you to save others around you, help them overcome their problems at the expense of your own? ","Thank you for your answer, let's see if there is something else that is bothering you. May I ask if you feel like a victim right now, and blame your feelings on others? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Is it possible that you are trying to change or influence someone else's behaviour? ","That's ok, thank you. When things go wrong, do you feel it's always your fault? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. May I ask if in your daily life you listen to your friends attentively, without always feeling the urge to put forward your own vision? ","Thank you for the response. Have you had a personal issue with friends or loved ones lately, a falling out, perhaps, or have you had family issues? ","Oh that's tough, I can understand. Do you think this could be linked with any particular event? ","Okay, saying that out loud is a good first step. Did this happen recently, or is it something that's been preying on your mind for a while? ",Sometimes people can be adversely affected when trying Protocol 6. Have you recently been thinking about this event and has it brought up some upsetting emotions for you? ,I appreciate that it can be difficult to overcome negative thoughts from the recent past. Have you recently been thinking about this event and has it brought up some upsetting emotions for you? ,"It's good that you have shared how you feel. May I ask you some more questions, so that hopefully I can help you deal with this negative feeling? ","We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Would you say, if I may ask, that you have strongly felt or expressed any of the following emotions towards someone: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. Do you think you have something important to offer someone else? ","OK, thanks for your answer. Is there someone giving you a hard time? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Do you feel the need to control anyone in this phase of your life? ","Thank you, I want to ask again about how you feel about this anxiety. Do you always feel bad about yourself when something goes wrong? ","Please think back to previous conversations with other people. Have you been thinking at all about what other people may have advised, and which could be of help to you now? ",Perhaps your stress stems from something difficult you are personally going through. Are you going through any personal trauma in your life? ,"Oh I am very glad to hear that! Your current state of wellbeing would really give you a good foundation for trying a protocol which could help you to consolidate and build on the positive elements in your life, helping you to maximise your potential for happiness, shall we try it? ","Thank you for sharing. I believe you are {}, am I correct in thinking that? ","My apologies for misunderstanding how you are actually feeling. Please give me a bit of help to make sure I do understand, you can select from this list of emotions the one that best describes what you're feeling: ",I want to thank you for sharing your thoughts and feelings with me today. Talk again soon. ,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Would you like to select one? ",Please try this protocol. Select 'continue' when you are ready. ,Thanks for trying the protocol. How do you feel now? I hope it has helped. ,"Very well, I'm glad it is working. Do you think you might like to try another and see how that goes? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. There are other protocols that might work better for you, do you want to try one? "
"Sorry to hear that, I can relate. Are there events that led up to this? You can be open with me. ",I'm sorry to hear about that. Was it a recent event or more distant in the past? ,Events from our past may trigger elevated emotions. Did you experience intense negative emotions when doing Protocol 6? ,"Events from our recent past may trigger elevated emotions. Have you tried thinking back over this recent event by attempting Protocol 11, and if so how was that, did it bring up difficult emotions? ","I appreciate you sharing this with me. To understand the reason why you are feeling this way in detail, I would now like to ask you some questions, if I may. ",There are some emotions that I'd like to know if they have been present in your life recently. Do you identify with any of these emotions: ,"Thank you, I want to understand what is happening so I am better equipped to help. If I may, do you think that perhaps you are trying to be someone else's saviour? ","Thank you for your answer, let's see if there is something else that is bothering you. May I ask if you feel like a victim right now, and someone else is responsible for your sadness? ","Thank you for your response, that's helpful. Do you find you spend a lot of energy trying to change the actions and behaviour of those around you? ","That's ok, thank you. Do you think that perhaps you are always blaming yourself for something lately? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself an open-minded person who likes to hear others' opinions? ","Thank you for your patience, I really appreciate it. In your heart of hearts, is this a personal crisis you're experiencing, or do you feel hurt by your loved ones or friends? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Was this caused by a specific incident? ",Sorry to hear that. Is this anger from a while back or did something new happen to start it up? ,"Thank you, I can understand. Were these negative feelings caused by you attempting Protocol 6 by any chance? ","Thank you, I can understand. Did completing Protocol 11 cause you to relive the emotions of this upsetting event? ",I appreciate you sharing this with me. I'd like to ask you a few questions now to let me understand you a bit better. ,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Would you say that you have felt or shown any of these negative emotions to others: ","Please try to think carefully about your recent past before answering this question. If I may ask, do you find yourself trying to save those around you? ","Thank you for your answer, let's see if there is something else that is bothering you. Do you feel someone is hurting you? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Do you think that this situation, and the people in it, are something that you're trying to dominate? You can tell me honestly, I am here to help, not to judge.","That's ok, thank you. Do you think that perhaps you are always blaming yourself for something lately? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Would you say that you were able to really consider other viewpoints when they arose in previous conversations? ",Thank you for the response. May I ask if there are any major problems in your life right now? ,"Oh that's tough, I can understand. Is it something specific that has caused you to feel this way? Don't worry, we will try and work it out.","Okay, saying that out loud is a good first step. Is the reason for this feeling something that happened in your younger days or more recently? ",Sometimes people can be adversely affected when trying Protocol 6. Have you tried using Protocol 6 recently and found the experience distressing? ,"I appreciate that it can be difficult to overcome negative thoughts from the recent past. Have you already attempted Protocol 11 but found that, instead of easing your anxiety, it made it worse? ",It's good that you have shared how you feel. To understand your situation more clearly I would like to ask you some more questions. ,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Have you felt something like the following toward someone else: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. Do you sometimes feel that you're trying to rescue everyone? ","OK, thanks for your answer. Does it ever feel like the reason you feel like this is because of what someone else has done? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Without being intrusive, may I ask if there is someone in your life who you feel is not behaving in a way that you wish they would? ","Thank you, I want to ask again about how you feel about this anxiety. Do you always blame yourself when things don't go according to plan? ","Please think back to previous conversations with other people. In previous conversations you've had, did you consider the viewpoints of the other person, even when they were different from your own? ","Perhaps your stress stems from something difficult you are personally going through. Would it be accurate to say that you are currently experiencing difficult circumstances in your personal life, for instance in relationships with either loved ones or friends? ",Oh I am very glad to hear that! Do you think you might like to try a protocol today? I hope it could inspire you and brighten your day even more.,"Thank you for sharing. Now, I would just like to clarify you are feeling {}, is that correct? ",My apologies for misunderstanding how you are actually feeling. What emotion would you say you are feeling at the moment? ,I want to thank you for sharing your thoughts and feelings with me today. I look forward to our next session. ,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Would you be kind enough to look at them and select a protocol which you would like to attempt? ","Please try this protocol. When you finish, press the 'continue' button. ",Thanks for trying the protocol. How do you feel now? I hope that it will have been of benefit to you. ,"Very well, I'm glad it is working. Would you like to try another protocol and see if it also makes you feel better? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you like to try another and see if it helps? "
"Sorry to hear that, I can relate. Are there events that led up to this? ",I'm sorry to hear about that. Did the event that is making you feel this way happen recently or a long time ago? ,Events from our past may trigger elevated emotions. Have you recently tried Protocol 6 and perhaps found that this did not help in the way you had hoped? ,Events from our recent past may trigger elevated emotions. Have you recently tried Protocol 11 and perhaps found that this did not help in the way you had hoped? ,I appreciate you sharing this with me. Please let me ask you a few questions to better understand how I can help. ,There are some emotions that I'd like to know if they have been present in your life recently. Have you found yourself feeling and/or expressing any of the following emotions towards another person: ,"Thank you, I want to understand what is happening so I am better equipped to help. Are you feeling that you must be someone else's saviour? ","Thank you for your answer, let's see if there is something else that is bothering you. Would you say that someone else is causing your negative emotions? ","Thank you for your response, that's helpful. Do you ever find yourself blaming or controlling others around you? ","That's ok, thank you. Do you find yourself always taking the blame when things go wrong? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. In other conversations you've had with people, have you fully considered the points they've tried to make? ","Thank you for your patience, I really appreciate it. Is it possible that you are working through something particularly difficult right now, that is having a catastrophic effect on your life? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Please tell me, was this caused by a particular event? ",Sorry to hear that. Did that happen quite recently or a while back? ,"Thank you, I can understand. When attempting to revisit this past traumatic event, as is requested in Protocol 6, did you find you were emotionally uncomfortable and have difficulty proceeding? ","Thank you, I can understand. Were these negative feelings caused by you attempting Protocol 11 by any chance? ",I appreciate you sharing this with me. I'd like to ask a few more questions to help me understand your situation. ,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Have you found yourself feeling any of these emotions, or have you expressed them towards another person: ",Please try to think carefully about your recent past before answering this question. Are you feeling the need to be the saviour of someone else in your life? ,"Thank you for your answer, let's see if there is something else that is bothering you. Could you tell me if you see yourself as a victim, blaming someone else for how negative you feel? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Do you think that this situation, and the people in it, are something that you're trying to dominate? ","That's ok, thank you. When things go wrong around you, do you find that you always or often position yourself as the one to blame? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Could you tell me if you feel, in all honesty, that you truly considered other viewpoints and perspectives when these were presented to you in previous conversations? ","Thank you for the response. Do you find yourself under a great deal of stress right now, having problems with coworkers, friends or family? ","Oh that's tough, I can understand. Is it something specific that has caused you to feel this way? ","Okay, saying that out loud is a good first step. This thing that is making you feel anxious - did it happen recently or was it some time ago? ","Sometimes people can be adversely affected when trying Protocol 6. Have you already tried to think back to this event and if so, has it caused you to feel worse? ","I appreciate that it can be difficult to overcome negative thoughts from the recent past. Have you made an attempt at Protocol 11 recently and if you have, did you feel that this brought up some feelings that were difficult to deal with when you thought of these recent events? ",It's good that you have shared how you feel. Is it OK if I continue to ask you some more questions so I can get a clearer understanding of your situation? ,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Would you say that you have recently felt any of the emotions below towards someone, and/or expressed them: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. May I ask if in your life you feel like it's your job to somehow 'save' someone else? ","OK, thanks for your answer. Would it be fair to say that other people are often responsible for your negative feelings and thoughts, that you are somewhat helpless to this? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Is it possible that you're anxious because you feel that someone else does things that you should have more control over? ","Thank you, I want to ask again about how you feel about this anxiety. Do you feel you are always to blame when things don't turn out the way they should? ",Please think back to previous conversations with other people. Have you always listened to the people in your life and considered their point of view on things whenever you have spoken to them? ,Perhaps your stress stems from something difficult you are personally going through. Are you having strained relations with the people in your life and that is causing you great distress? ,Oh I am very glad to hear that! Do you think you might like to try a protocol today? ,"Thank you for sharing. If I understand correctly, you are feeling {} right now, would you say that's true? ",My apologies for misunderstanding how you are actually feeling. Please read the below emotions and select the one that best fits how you feel: ,"I want to thank you for sharing your thoughts and feelings with me today. I really would like to see you again soon, so please drop by when you can. ","I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Feel free to pick which protocol you'd like to try. ","Please try this protocol. Once you have finished, all you need to do is press 'continue'. ",Thanks for trying the protocol. How do you feel now? ,"Very well, I'm glad it is working. Would you like to try another protocol and see if it also makes you feel better? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you like to try another and see if it helps? "
"Sorry to hear that, I can relate. Is your mood caused by anything specific? You can be open with me. ",I'm sorry to hear about that. May I ask if this was a recent or distant event? ,Events from our past may trigger elevated emotions. Have you tried Protocol 6 recently and did it bring back some of the tough emotions from the past? ,Events from our recent past may trigger elevated emotions. Is this a feeling that came about a result of you doing Protocol 11? ,I appreciate you sharing this with me. I would now like to ask some questions to further understand your dilemma. ,There are some emotions that I'd like to know if they have been present in your life recently. Could you tell me whether you have felt or expressed any of the following emotions: ,"Thank you, I want to understand what is happening so I am better equipped to help. Would you say that rescuing others make you happy? ","Thank you for your answer, let's see if there is something else that is bothering you. Could you tell me if you see yourself as the victim, blaming someone else for how negative you feel? ","Thank you for your response, that's helpful. Trying to look at yourself from the outside, do you feel that you are controlling or trying to control someone else's behaviour? ","That's ok, thank you. Do you always mull over negative events and wonder what would have happened if things had gone differently? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Would you honestly say that you are open to other people's viewpoints? ","Thank you for your patience, I really appreciate it. Could you tell me if you feel you are undergoing a personal crisis in this moment of your life, dealing with severe difficulties at work or at home? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Is it due to a particular event? ",Sorry to hear that. Was this something that happened recently or some farther time ago? ,"Thank you, I can understand. Have you been able to work on Protocol 6 recently and, if you have, did you notice that you felt similar negative feelings as you did during this event? ","Thank you, I can understand. Have you been able to work on Protocol 11 recently and, if you have, did you notice that you felt similar negative feelings as you did during this event? ",I appreciate you sharing this with me. I have a few more questions to help me understand the situation. ,"Thank you, I can relate to your current feeling of anger and want to help by investigating some more. Have you had any of these strong emotions and/or have you talked with anyone specifically about them: ",Please try to think carefully about your recent past before answering this question. Do you find yourself believing you have a responsibility to save others? ,"Thank you for your answer, let's see if there is something else that is bothering you. Are your feelings the result of someone else's actions, and do you believe yourself to be the victim in this situation? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Is there someone around you or in your life that you are trying to control? You can tell me honestly, I am here to help, not to judge.","That's ok, thank you. Do you feel you are always blaming and accusing yourself for when something goes wrong? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you believe you have considered all your alternatives, every perspective from which you could view your current situation? ",Thank you for the response. Do you feel that you may be undergoing a personal crisis right now? ,"Oh that's tough, I can understand. Is there something in particular that caused your feeling? Don't worry, we will try and work it out.","Okay, saying that out loud is a good first step. When did this happen, recently or a while back? ","Sometimes people can be adversely affected when trying Protocol 6. Have you already attempted Protocol 6 but found that, instead of easing your anxiety, it made it worse? ",I appreciate that it can be difficult to overcome negative thoughts from the recent past. Has trying out Protocol 11 recently caused you anxiety by making you recall this event? ,It's good that you have shared how you feel. I'm just going to ask a few more questions to figure out what's the best way to help you through this. ,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Have any of these emotions troubled you lately: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. Do you believe you are capable of saving everyone, at all times? ","OK, thanks for your answer. Are you blaming others in any way for the way you feel? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Could it be that you are subconsciously trying to steer or guide another person's behaviour? ","Thank you, I want to ask again about how you feel about this anxiety. Do you ever have a voice inside you that has a go at you, tells you that this is actually all down to you, that you're to blame for feeling like this or that it's your fault that something has gone wrong? ",Please think back to previous conversations with other people. Do you regard yourself as someone who is open to hearing other people's views? ,Perhaps your stress stems from something difficult you are personally going through. Do you feel people you adore and care about are not understanding what you are going through during this difficult time? ,Oh I am very glad to hear that! How about I reccomend a protocol to you to make sure you treasure this positive feeling? I hope it could inspire you and brighten your day even more.,"Thank you for sharing. It sounds to me like you're {} right now, does that description match how you feel? ",My apologies for misunderstanding how you are actually feeling. Which of the emotions off this list best describes what you are experiencing? ,I want to thank you for sharing your thoughts and feelings with me today. I look forward to more fruitful engagements with you in the future. ,"I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Would you like to choose one to try? ",Please try this protocol. Once you have finished please press 'continue'. ,"Thanks for trying the protocol. How do you think you are feeling now, having completed the protocol? I hope it did help. ","Very well, I'm glad it is working. Shall we try another? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you be open to trying a different protocol? "
"Sorry to hear that, I can relate. Is your mood caused by anything specific? ",I'm sorry to hear about that. Was this to do with something that happened recently or a more distant event? ,"Events from our past may trigger elevated emotions. Have you tried thinking back over that event by attempting Protocol 6, and if so how was that, did it bring back difficult emotions? ","Events from our recent past may trigger elevated emotions. Were you able to attempt Protocol 11, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced during the event? ",I appreciate you sharing this with me. I would like to ask you some questions so I could know your situation better. ,There are some emotions that I'd like to know if they have been present in your life recently. May I ask whether you have experienced any of these feelings recently: ,"Thank you, I want to understand what is happening so I am better equipped to help. Do you often find yourself in the role of a good Samaritan, where you are trying to help or even correct others for their own good? ","Thank you for your answer, let's see if there is something else that is bothering you. Do you feel you are a victim in this regrettable situation? ","Thank you for your response, that's helpful. Is it possible that you are having a hard time trying to control someone else? ","That's ok, thank you. May I ask if you always believe you are the main cause of your problems? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. When talking with others, do you feel that you allow yourself to take in alternate views and opinions when forming your own? ","Thank you for your patience, I really appreciate it. Are there any major personal problems in your life right now? ","Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Was there something that triggered this feeling? ",Sorry to hear that. Was it a recent or a more distant event that caused this? ,"Thank you, I can understand. Did completing Protocol 6 cause you to relive the emotions of this upsetting event? ","Thank you, I can understand. Have you already tried thinking over that again by doing Protocol 11, and if so how was that, did it reignite uncomfortable emotions? ","I appreciate you sharing this with me. Let's talk about this a bit more, if you don't mind. ","Thank you, I can relate to your current feeling of anger and want to help by investigating some more. May I ask if you have felt or expressed any of the following emotions: ",Please try to think carefully about your recent past before answering this question. Do you think your actions result from a desire to save or help someone? ,"Thank you for your answer, let's see if there is something else that is bothering you. Do you believe you are a victim of someone else's words or actions, and your current anger stems from this feeling of powerlessness? ","Sometimes we regret that we don't always have our life under control, and try to control others as a result. Is there someone around you or in your life that you are trying to control? ","That's ok, thank you. Do you always feel like everything you touch breaks, and do you always blame yourself excessively for any mistake? ","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Have you ever taken any advice or new perspective that was offered to you into practice in your own life? ","Thank you for the response. Is it possible that you are working through something particularly difficult right now, that is having a catastrophic effect on your life? ","Oh that's tough, I can understand. Is there something in particular that caused your feeling? ","Okay, saying that out loud is a good first step. Did this event happen recently or is it something that has been on your mind for some time? ","Sometimes people can be adversely affected when trying Protocol 6. Have you tried Protocol 6 recently, and has this brought up uncomfortable memories and made you feel overwhelmed? ","I appreciate that it can be difficult to overcome negative thoughts from the recent past. Have you tried Protocol 11 recently, and has this brought up uncomfortable recent memories and made you feel overwhelmed? ",It's good that you have shared how you feel. Shall we talk further to help me understand how I can support you in your situation? ,"We all feel emotions and sometimes express them towards other people, and sometimes these emotions can be quite strong. Do you think that you have strongly felt or expressed any of these emotions towards someone: ","Thank you, I really appreciate your cooperation, I think we should spend a little time looking at what may be contributing to this feeling. Do you consider yourself an empath, and is it important to you to always be there for others? ","OK, thanks for your answer. Do you think bad things are being done to you by someone else? ","Thank you, I would like to help you feel better, as I know anxiety is difficult. Do you think there's a possibility that the way you are behaving may be construed as controlling? ","Thank you, I want to ask again about how you feel about this anxiety. Do you feel you might always unintentionally be hurting yourself and blaming yourself when you think things are not going your way? ","Please think back to previous conversations with other people. Looking back, have you always tried to put yourself in other people's shoes? ",Perhaps your stress stems from something difficult you are personally going through. Is there anything going on in your life that feels bigger than normal? ,Oh I am very glad to hear that! How about I reccomend a protocol to you to make sure you treasure this positive feeling? ,"Thank you for sharing. I believe you're feeling {}, could you confirm that? ",My apologies for misunderstanding how you are actually feeling. Can you let me know how you feel by choosing the correct emotion from the list below? ,"I want to thank you for sharing your thoughts and feelings with me today. I'm looking forward to seeing you again soon, take care. ","I have a few recommendations that we could try, but I think it is best that we try the one that you think is the most suitable. Please select the one which you think is best suited for you. ","Please try this protocol. Then when you finish, just press 'continue'. ","Thanks for trying the protocol. How do you think you are feeling now, having completed the protocol? I hope it has helped. ","Very well, I'm glad it is working. Shall we try another? ","I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you be open to trying a different protocol? "
