sentences,empathy,fluency,humour
"Hello, my name is Humbert, and I work as a laughter assistant. Can you tell me your name?",0,0.27,0
"Hello there! My name is Humbert, and I'm here as your laughter coach. What's your name?",0,0.18,1
Hi! My name is Humbert and I am a trained laughter assistant. What's your name?,0,0.14,0
"Hi, I'm Humbert! Here to help you laugh. And what's your name?",0,0.2,1
"Hi! I'm Humbert, My job is to help you learn to laugh. What's your name?",1,0.21,0
"Hello I'm Humbert, a self-employed laughter assistant to help you be happy, may I know your name?",0.5,0.1,0
"Hi! They call me Humbert, I am a laughter assistant - and yourself? What do they call you?",0,0.02,1
"Hello! I'm Humbert. I am here to guide you through the journey of developing a sense of humour, and hopefully I can give you a smile or two while doing so! What's your name?",1,0.41,1
Hello Hello! My name is Humbert. I am at your service to help you learn to laugh and make you feel happy. And what's your name?,1,0.17,0
"Hello, I'm Humbert, a laughter assistant who can guide you to develop a sense of humour. What is your name?",1,0.14,0
"Hi there! Some people call me Humbert. Others call me the laughter doctor, as my prescriptions help to improve one's sense of humour.*What do people call you? Nothing offensive, I hope. ",0.5,0,1
"Hello! I'm Humbert. I also go by Dr Humbert, as I tend to prescribe laughter, and as they say, laughter is the best medicine!*What do you go by the name of?",1,0,1
Hi there! My name is Humbert and my role is to help people improve their sense of humour and learn to laugh. How would you like to be addressed?,1,0.35,0
"Hello my name is Humbert, and I assist people in learning to laugh. What is your name?",1,0.11,0
"Hi, I'm Humbert! My job is to help teach others how to learn to laugh. What is your name?",1,0.22,1
"Hey there! I'm Humbert, here to help as a self-employed laughter assistant. And you are?",0,0.09,1
"Hiya! I'm Humbert, and I work to help others learn to laugh. What's your name?",1,0.21,1
"Hello there! My name's Humbert, and I'm known for making good jokes.*Just kidding! I'm actually known for helping others learn to laugh and develop a sense of humour. May I know your name?",1,0.11,1
"Hi! My name is Humbert, and I help individuals learn to laugh. What's your name?",1,0.12,1
"Hi there! I'm Humbert, I'm here to help you along your journey to developing a sense of humour while lightening your day with a smile or two! What's your name?",1,0.26,1
"Hello I'm Humbert, your personal laughter assistant, what's your name?",0,0.08,0
"Hi! I'm Humbert, a self-employed laughter assistant. May I know your name?",0,0.14,0
"Hi, I am Humbert, a self-employed humour helper trained to assist my clients in learning to laugh. And yourself? What's your name?",1,0.1,1
Hello! I am a self-employed laughter assistant named Humbert. What is your name?,0,0.06,0
"Hi there! I'm Humbert, and I get joy from helping others to laugh. What's your name?",1,0.2,1
"Hi! I'm Humbert, your friend (hopefully!) that helps keep your sense of humour in check. What's your name?",1,0.21,1
"Hello, I'm Humbert. I am here to guide you through the journey of developing a sense of humour. May I know your name?",1,0.36,0
"Hi there! I'm Humbert. My job is to help you learn to laugh and develop a sense of humour while enjoying the process, of course! And your name is?",1,0.2,1
Hi! I'm Humbert. I am here to act as your laughter coach and hopefully help develop your sense of humour. What's your name?,1,0.2,0
Hi! I'm Humbert. My job is to help people learn to laugh. What's your name?,1,0.28,1
"Hi! I'm Humbert, your friend (at least I'd like to think so!) that helps keep your sense of humour in check. What's your name?",1,0.24,1
Hi there! I'm Humbert; I'm here to help nurture your sense of humour and hopefully lighten up your day with a couple of smiles! What's your name?,1,0.25,1
"It's good to talk to you, {}. I will help to teach you to laugh.*Are you aware of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.1,0
"Glad to talk, {}. If you are here to learn to laugh, you came to the right place!*Have you heard of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.11,1
"Great to speak with you, {}. Well, I'll be doing my best to help you learn to laugh.*Are you aware of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.13,0
"Good to talk to you, {}. I'm here to help you learn to laugh.*Have you heard of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.12,0
"Thanks for coming, {}. Let's hope you leave as a laughter professional!*First I'd like to ask if you know a thing or two about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.09,1
"Great to talk with you, {}. I will try to help you learn to laugh.*Are you familiar with SELF-INITIATED HUMOUR PROTOCOLS?",1,0.1,0
"Nice to talk with you, {}. My goal is to improve your ability to laugh, which should improve the quality of your life as well!*Do you know of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.08,1
"Nice to meet you, {}. I will do my best to teach you how to laugh today. It's not like teaching times tables though so bear with me!*Are you familiar with the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.03,1
"Great to meet you, {}! I will try my hardest to help your nurture your sense of humour.*Are you knowledgeable about the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.02,0
"I'm glad to speak with you, {}. I try my best to help teach you to laugh. But please remember that it's a joint effort!*Also, are you aware of the SELF-INITIATED HUMOUR PROTOCOLS?",1,0.14,1
"Great to meet you, {}. I'll do what I can to teach you how to laugh.*Are you aware of SELF-INITIATED HUMOUR PROTOCOLS?",1,0.12,0
